,dataset,generator,metric_name,value
203,bbb_martins_25,wgan,unlabelled_graph_cycle_distance_time,66.18753099441528
204,bbb_martins_25,wgan,cycle_distance,88.73865341194227
205,bbb_martins_25,wgan,cycle_distance_time,66.84009456634521
206,bbb_martins_25,wgan,neighborhood_distance,407.31675802323855
207,bbb_martins_25,wgan,neighborhood_distance_time,92.3022084236145
208,bbb_martins_25,wgan,neighborhood_distance_r=2,79.35893699010599
209,bbb_martins_25,wgan,neighborhood_distance_r=2_time,136.92387437820435
210,bbb_martins_25,stgg,node_edge_distance,13.085039371076387
211,bbb_martins_25,stgg,node_edge_distance_time,164.99546074867249
212,bbb_martins_25,stgg,unlabelled_graph_cycle_distance,5.79182133231903
213,bbb_martins_25,stgg,unlabelled_graph_cycle_distance_time,117.9662811756134
214,bbb_martins_25,stgg,cycle_distance,3.5797351325927966
215,bbb_martins_25,stgg,cycle_distance_time,122.58228158950806
216,bbb_martins_25,stgg,neighborhood_distance,26.268569909815824
217,bbb_martins_25,stgg,neighborhood_distance_time,161.546160697937
218,bbb_martins_25,stgg,neighborhood_distance_r=2,43.45477398043622
219,bbb_martins_25,stgg,neighborhood_distance_r=2_time,240.08270907402039
220,bbb_martins_25,gdss,node_edge_distance,1002.2751691854247
221,bbb_martins_25,gdss,node_edge_distance_time,99.48135137557983
222,bbb_martins_25,gdss,unlabelled_graph_cycle_distance,377.29512284103697
223,bbb_martins_25,gdss,unlabelled_graph_cycle_distance_time,74.9165370464325
224,bbb_martins_25,gdss,cycle_distance,150.70225055450405
225,bbb_martins_25,gdss,cycle_distance_time,74.81128931045532
226,bbb_martins_25,gdss,neighborhood_distance,372.4278753509955
227,bbb_martins_25,gdss,neighborhood_distance_time,96.45553040504456
228,bbb_martins_25,gdss,neighborhood_distance_r=2,272.85193238754516
229,bbb_martins_25,gdss,neighborhood_distance_r=2_time,145.68014216423035
230,bbb_martins_25,jtnn,node_edge_distance,359.2538974679023
231,bbb_martins_25,jtnn,node_edge_distance_time,108.03023982048035
